Algo Name,Preprocessor Name,Root Mean Squared Error (Test),Root Std Squared Error (Test),Root min Squared Error (Test),Root Q1 Squared Error (Test),Root Median Squared Error (Test),Root Q3 Squared Error (Test),Root max Squared Error (Test),Mean Absolute Error (Test),Std Absolute Error (Test),min Absolute Error (Test),Q1 Absolute Error (Test),Median Absolute Error (Test),Q3 Absolute Error (Test),max Absolute Error (Test),Mean Absolute Percentage Error (Test),Std Absolute Percentage Error (Test),min Absolute Percentage Error (Test),Q1 Absolute Percentage Error (Test),Median Absolute Percentage Error (Test),Q3 Absolute Percentage Error (Test),max Absolute Percentage Error (Test)
Extreme Gradient Boosting,simple,45.863,106.855,0.0,2.685,5.259,18.155,732.475,20.624,40.964,0.0,2.685,5.259,18.155,732.475,2640.158,82417.476,0.0,1.313,3.567,16.518,11952513.779
Gradient Boosting,simple,46.463,113.46,0.0,2.477,5.955,18.671,906.013,20.827,41.533,0.0,2.477,5.955,18.671,906.013,2107.603,76153.32,0.0,1.486,4.019,16.019,11022333.015
Random Forest,simple,56.967,127.151,0.0,2.242,8.559,27.044,797.301,26.849,50.243,0.0,2.242,8.559,27.044,797.301,2190.75,110323.763,0.0,1.991,4.993,12.481,13576897.776
Decision Tree,simple,66.807,199.584,0.0,1.529,6.754,22.572,2248.626,27.611,60.834,0.0,1.529,6.754,22.572,2248.626,993.581,83734.598,0.0,1.347,3.952,12.36,12608805.479
Lasso,poly and spline,85.185,156.55,0.001,16.82,35.528,67.911,1375.092,55.66,64.486,0.001,16.82,35.528,67.911,1375.092,21449.025,312701.548,0.001,6.941,15.766,56.724,23553262.238
Linear Regression,simple,306.969,1032.352,0.018,74.577,157.779,273.254,11775.984,208.004,225.752,0.018,74.577,157.779,273.254,11775.984,176228.44,2521894.002,0.002,22.459,59.625,279.105,147218947.342
Ridge,poly,397.929,4212.781,0.001,10.971,24.674,50.438,46136.188,46.043,395.257,0.001,10.971,24.674,50.438,46136.188,12160.248,175190.285,0.001,4.772,11.653,41.826,13421322.699
Ridge,poly and spline,506.327,5406.526,0.001,10.374,23.394,47.466,59083.087,45.146,504.31,0.001,10.374,23.394,47.466,59083.087,12422.017,191296.16,0.0,4.66,11.234,40.466,12046203.877
Elastic Net,poly,689.234,7384.868,0.001,11.196,24.781,51.383,80486.138,50.276,687.398,0.001,11.196,24.781,51.383,80486.138,10044.375,135056.347,0.0,5.234,12.507,43.796,7957651.175
Elastic Net,poly and spline,701.149,7503.608,0.001,13.189,30.523,63.826,82191.374,59.03,698.66,0.001,13.189,30.523,63.826,82191.374,14519.139,281236.295,0.0,6.221,14.986,48.308,31594877.522
